Station_ID,Date_Time,pressure_set_1,air_temp_set_1,air_temp_set_2,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_fifteen_minute_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temp_set_1d
,,Pascals,Celsius,Celsius,%,m/s,Degrees,m/s,W/m**2,Millimeters,volts,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
LBNL1,2025-09-03T12:00:00Z,98272.0,14.27,13.17,90.15,0.96,127.2,2.8,0.0,0.0,13.81,,SE,,12.66,101488.51,101474.76,13.34
LBNL1,2025-09-03T12:15:00Z,98265.0,14.07,13.06,90.56,0.8,149.0,2.49,0.0,0.0,13.81,,SSE,,12.53,101481.28,101469.79,13.18
LBNL1,2025-09-03T12:30:00Z,98261.0,13.87,12.9,91.04,1.12,180.5,2.36,0.0,0.0,13.81,,S,,12.42,101477.15,101467.87,13.04
LBNL1,2025-09-03T12:45:00Z,98270.0,13.84,12.92,91.01,0.36,159.9,1.91,0.0,0.0,13.83,,SSE,,12.38,101486.44,101477.53,13.01
LBNL1,2025-09-03T13:00:00Z,98275.0,13.85,12.94,91.07,0.18,145.0,1.36,0.0,0.0,13.84,,SE,,12.4,101491.6,101482.57,13.02
LBNL1,2025-09-03T13:15:00Z,98293.0,13.66,12.8,91.49,0.24,144.1,1.33,0.01,0.0,13.84,,SE,,12.29,101510.19,101503.3,12.88
LBNL1,2025-09-03T13:30:00Z,98283.0,13.77,12.84,91.73,0.85,133.1,1.91,0.17,0.0,13.84,,SE,,12.44,101499.87,101491.72,13.01
LBNL1,2025-09-03T13:45:00Z,98293.0,13.88,12.9,91.41,0.4,134.6,1.67,2.34,0.0,13.84,,SE,,12.49,101510.19,101500.84,13.08
LBNL1,2025-09-03T14:00:00Z,98310.0,14.07,13.02,90.72,0.87,114.3,2.08,6.94,0.0,13.84,,ESE,,12.56,101527.75,101516.2,13.2
LBNL1,2025-09-03T14:15:00Z,98324.0,13.97,12.87,91.05,1.01,103.5,2.8,16.93,0.0,13.84,,ESE,,12.52,101542.21,101531.85,13.13
LBNL1,2025-09-03T14:30:00Z,98335.0,14.13,13.01,91.06,0.33,132.0,2.08,32.32,0.0,13.84,,SE,,12.68,101553.57,101541.38,13.29
LBNL1,2025-09-03T14:45:00Z,98338.0,14.14,13.03,90.89,1.24,118.9,2.53,42.07,0.0,13.83,,ESE,,12.66,101556.67,101544.35,13.29
LBNL1,2025-09-03T15:00:00Z,98336.0,14.16,13.01,90.66,0.73,132.7,2.36,57.51,0.0,13.81,,SE,,12.64,101554.6,101542.1,13.28
LBNL1,2025-09-03T15:15:00Z,98349.0,14.36,13.23,89.86,0.72,142.0,2.86,104.5,0.0,13.81,,SE,,12.7,101568.03,101553.2,13.4
LBNL1,2025-09-03T15:30:00Z,98362.0,14.39,13.23,89.27,1.55,133.1,3.2,107.6,0.0,13.81,,SE,,12.63,101581.45,101566.26,13.37
LBNL1,2025-09-03T15:45:00Z,98382.0,14.5,13.31,89.15,1.11,125.0,2.76,115.9,0.0,13.81,,SE,,12.72,101602.11,101585.71,13.46
LBNL1,2025-09-03T16:00:00Z,98387.0,14.71,13.49,88.14,0.83,132.3,2.63,161.5,0.0,13.81,,SE,,12.75,101607.27,101588.49,13.56
LBNL1,2025-09-03T16:15:00Z,98389.0,14.95,13.68,87.27,1.54,103.7,3.31,207.7,0.0,13.79,,ESE,,12.83,101609.34,101587.87,13.7
LBNL1,2025-09-03T16:30:00Z,98404.0,15.11,13.78,86.34,1.8,104.4,3.59,255.5,0.0,13.78,,ESE,,12.83,101624.83,101601.54,13.76
LBNL1,2025-09-03T16:45:00Z,98386.0,15.39,14.03,84.6,2.05,112.4,3.24,414.4,0.0,13.78,,ESE,,12.79,101606.24,101579.78,13.85
LBNL1,2025-09-03T17:00:00Z,98394.0,15.94,14.61,81.94,2.05,93.9,3.62,553.2,0.0,13.76,,E,,12.83,101614.5,101581.89,14.09
LBNL1,2025-09-03T17:15:00Z,98381.0,16.13,14.73,80.23,2.11,104.3,3.65,609.4,0.0,13.73,,ESE,,12.69,101601.07,101566.41,14.07
LBNL1,2025-09-03T17:30:00Z,98399.0,16.89,15.33,77.56,2.15,104.6,4.13,646.2,0.0,13.7,,ESE,,12.91,101619.66,101576.47,14.49
LBNL1,2025-09-03T17:45:00Z,98396.0,16.62,15.09,78.65,2.74,103.1,4.61,682.6,0.0,13.68,,ESE,,12.87,101616.56,101576.4,14.36
LBNL1,2025-09-03T18:00:00Z,98382.0,16.78,15.15,78.79,2.26,102.4,3.96,719.1,0.0,13.68,,ESE,,13.05,101602.11,101560.21,14.52
LBNL1,2025-09-03T18:15:00Z,98379.0,17.26,15.59,76.7,2.32,97.7,4.16,745.1,0.0,13.68,,E,,13.1,101599.01,101551.76,14.74
LBNL1,2025-09-03T18:30:00Z,98369.0,18.09,16.43,73.28,1.76,98.9,3.76,773.1,0.0,13.66,,E,,13.2,101588.68,101532.24,15.1
LBNL1,2025-09-03T18:45:00Z,98373.0,18.21,16.54,72.53,1.81,105.9,4.16,797.6,0.0,13.65,,ESE,,13.16,101592.81,101535.14,15.11
LBNL1,2025-09-03T19:00:00Z,98359.0,18.46,16.51,71.38,2.13,111.3,3.68,819.0,0.0,13.62,,ESE,,13.15,101578.35,101517.94,15.2
LBNL1,2025-09-03T19:15:00Z,98336.0,19.33,17.54,68.32,0.39,78.97,3.0,838.0,0.0,13.61,,E,,13.31,101554.6,101484.61,15.61
LBNL1,2025-09-03T19:30:00Z,98320.0,20.36,18.54,64.13,0.88,68.99,2.86,853.0,0.0,13.57,,ENE,,13.32,101538.08,101456.99,15.98
LBNL1,2025-09-03T19:45:00Z,98305.0,20.52,18.59,63.27,1.42,101.7,3.24,864.0,0.0,13.54,,ESE,,13.26,101522.59,101439.71,16.01
LBNL1,2025-09-03T20:00:00Z,98298.0,20.71,18.73,62.99,1.89,94.0,3.62,871.0,0.0,13.52,,E,,13.38,101515.36,101430.5,16.13
LBNL1,2025-09-03T20:15:00Z,98304.0,20.33,18.18,64.05,2.0,90.3,3.86,873.0,0.0,13.5,,E,,13.27,101521.55,101440.78,15.94
LBNL1,2025-09-03T20:30:00Z,98301.0,20.12,17.87,64.19,2.58,105.0,4.2,871.0,0.0,13.5,,ESE,,13.11,101518.46,101439.92,15.78
LBNL1,2025-09-03T20:45:00Z,98289.0,20.46,18.42,63.28,1.62,97.4,4.13,868.0,0.0,13.47,,E,,13.21,101506.06,101423.86,15.95
LBNL1,2025-09-03T21:00:00Z,98282.0,19.98,17.94,64.49,1.54,100.2,3.89,858.0,0.0,13.47,,E,,13.04,101498.83,101421.82,15.69
LBNL1,2025-09-03T21:15:00Z,98271.0,20.23,17.78,63.64,2.31,105.1,4.37,845.0,0.0,13.47,,ESE,,13.08,101487.47,101407.81,15.8
LBNL1,2025-09-03T21:30:00Z,98249.0,20.32,18.12,63.38,1.91,103.5,4.2,829.0,0.0,13.47,,ESE,,13.1,101464.75,101384.15,15.84
LBNL1,2025-09-03T21:45:00Z,98230.0,20.91,18.62,61.51,1.94,96.6,3.59,809.0,0.0,13.47,,E,,13.2,101445.13,101358.13,16.11
LBNL1,2025-09-03T22:00:00Z,98234.0,20.13,17.96,63.3,2.77,100.9,4.78,782.9,0.0,13.47,,E,,12.9,101449.26,101370.66,15.67
LBNL1,2025-09-03T22:15:00Z,98224.0,19.57,17.56,65.7,2.83,98.2,4.71,755.5,0.0,13.47,,E,,12.94,101438.94,101366.48,15.48
LBNL1,2025-09-03T22:30:00Z,98204.0,20.06,17.91,63.3,2.54,108.2,4.47,725.4,0.0,13.47,,ESE,,12.83,101418.28,101340.49,15.6
LBNL1,2025-09-03T22:45:00Z,98214.0,19.77,17.57,63.88,3.58,105.4,5.97,692.0,0.0,13.47,,ESE,,12.7,101428.61,101354.0,15.42
LBNL1,2025-09-03T23:00:00Z,98199.0,19.24,17.23,65.48,3.02,109.9,5.16,655.8,0.0,13.47,,ESE,,12.57,101413.12,101344.26,15.16
LBNL1,2025-09-03T23:15:00Z,98194.0,19.01,17.01,66.1,2.5,105.4,4.54,620.1,0.0,13.47,,ESE,,12.5,101407.95,101341.59,15.04
LBNL1,2025-09-03T23:30:00Z,98187.0,19.21,17.22,65.55,2.57,98.8,4.33,579.3,0.0,13.47,,E,,12.56,101400.72,101332.18,15.15
LBNL1,2025-09-03T23:45:00Z,98175.0,18.37,16.75,68.34,2.47,91.2,4.06,535.4,0.0,13.47,,E,,12.4,101388.33,101328.97,14.75
LBNL1,2025-09-04T00:00:00Z,98177.0,18.06,16.3,70.05,2.42,106.4,3.99,490.6,0.0,13.49,,ESE,,12.48,101390.4,101334.44,14.68
LBNL1,2025-09-04T00:15:00Z,98164.0,18.41,16.84,68.03,2.21,105.7,4.64,443.8,0.0,13.5,,ESE,,12.37,101376.97,101317.24,14.74
LBNL1,2025-09-04T00:30:00Z,98155.0,18.13,16.72,69.3,1.21,84.0,3.38,395.7,0.0,13.5,,E,,12.38,101367.68,101310.94,14.65
LBNL1,2025-09-04T00:45:00Z,98126.0,18.42,16.9,68.53,1.65,101.0,3.86,346.8,0.0,13.5,,E,,12.49,101337.73,101277.84,14.82
LBNL1,2025-09-04T01:00:00Z,98134.0,18.62,17.13,67.63,1.77,105.4,3.82,297.9,0.0,13.5,,ESE,,12.48,101345.99,101283.97,14.88
LBNL1,2025-09-04T01:15:00Z,98138.0,17.96,16.29,71.34,3.45,104.6,4.78,247.7,0.0,13.54,,ESE,,12.66,101350.12,101295.34,14.74
LBNL1,2025-09-04T01:30:00Z,98141.0,16.71,15.13,77.7,2.98,106.7,4.51,198.2,0.0,13.58,,ESE,,12.77,101353.22,101312.22,14.33
LBNL1,2025-09-04T01:45:00Z,98149.0,15.84,14.42,81.34,3.1,100.9,4.81,154.0,0.0,13.61,,E,,12.62,101361.48,101330.07,13.93
LBNL1,2025-09-04T02:00:00Z,98159.0,15.38,14.07,83.59,2.46,101.9,4.16,70.73,0.0,13.64,,ESE,,12.59,101371.81,101345.54,13.73
LBNL1,2025-09-04T02:15:00Z,98180.0,14.63,13.29,87.94,3.09,109.0,6.04,29.1,0.0,13.67,,ESE,,12.64,101393.49,101375.69,13.46
LBNL1,2025-09-04T02:30:00Z,98188.0,14.46,13.18,87.89,3.1,98.4,5.77,7.92,0.0,13.71,,E,,12.46,101401.76,101385.89,13.29
LBNL1,2025-09-04T02:45:00Z,98201.0,14.2,13.03,87.8,2.58,95.9,4.4,2.73,0.0,13.74,,E,,12.19,101415.18,101402.21,13.03
LBNL1,2025-09-04T03:00:00Z,98192.0,14.16,13.02,87.58,1.52,101.3,4.37,0.38,0.0,13.75,,ESE,,12.11,101405.89,101393.35,12.97
LBNL1,2025-09-04T03:15:00Z,98207.0,14.11,12.97,88.09,2.82,109.0,4.33,0.01,0.0,13.78,,ESE,,12.15,101421.38,101409.41,12.98
