DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt
"2025-09-03 00:00:00","306.2","435.2","21.7","4.245"
"2025-09-03 00:15:00","304.7","437","21.6","4.245"
"2025-09-03 00:30:00","296.8","432","21.58","4.245"
"2025-09-03 00:45:00","299.8","441.7","21.5","4.245"
"2025-09-03 01:00:00","292.3","431.8","21.5","4.245"
"2025-09-03 01:15:00","292.2","442.2","21.5","4.23"
"2025-09-03 01:30:00","290.7","434","21.5","4.397"
"2025-09-03 01:45:00","289.2","436.8","21.5","4.23"
"2025-09-03 02:00:00","291.8","451.7","21.5","4.185"
"2025-09-03 02:15:00","348.8","439.7","22","4.169"
"2025-09-03 02:30:00","395.8","451","22.1","4.169"
"2025-09-03 02:45:00","364.8","435","22","4.154"
"2025-09-03 03:00:00","342.5","441.7","21.7","4.154"
"2025-09-03 03:15:00","318.8","433.3","21.7","4.154"
"2025-09-03 03:30:00","303.3","439.5","21.7","4.154"
"2025-09-03 03:45:00","293.3","436","21.7","4.154"
"2025-09-03 04:00:00","284.8","431.7","21.7","4.154"
"2025-09-03 04:15:00","290.7","441","21.7","4.154"
"2025-09-03 04:30:00","287.2","432.5","21.6","4.154"
"2025-09-03 04:45:00","289.7","441","21.5","4.169"
"2025-09-03 05:00:00","284.2","435.8","21.5","4.154"
"2025-09-03 05:15:00","286.8","441.2","21.5","4.154"
"2025-09-03 05:30:00","282.5","435.7","21.6","4.154"
"2025-09-03 05:45:00","281","436","21.6","4.154"
"2025-09-03 06:00:00","279.2","454","21.7","4.154"
"2025-09-03 06:15:00","295.7","448","22","4.154"
"2025-09-03 06:30:00","295.7","457","22","4.154"
"2025-09-03 06:45:00","374.5","445.5","22.2","4.154"
"2025-09-03 07:00:00","376","444.3","21.9","4.154"
"2025-09-03 07:15:00","332","435.8","21.6","4.154"
"2025-09-03 07:30:00","311.8","437.8","21.5","4.154"
"2025-09-03 07:45:00","302.7","436.5","21.5","4.154"
"2025-09-03 08:00:00","291.5","433.8","21.4","4.154"
"2025-09-03 08:15:00","290.8","439.5","21.5","4.154"
"2025-09-03 08:30:00","283","437.7","21.5","4.154"
