DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt
"2025-10-01 00:00:00","369.2","437.2","21.4","4.26"
"2025-10-01 00:15:00","369","431.7","21.37","4.26"
"2025-10-01 00:30:00","369.7","437","21.3","4.26"
"2025-10-01 00:45:00","369.8","431.8","21.3","4.245"
"2025-10-01 01:00:00","370.2","473.7","21.3","4.23"
"2025-10-01 01:15:00","370.8","438.3","21.6","4.185"
"2025-10-01 01:30:00","371.2","430.8","21.8","4.169"
"2025-10-01 01:45:00","371.7","436.8","21.8","4.154"
"2025-10-01 02:00:00","372.3","431","21.7","4.154"
"2025-10-01 02:15:00","371.7","451.5","21.7","4.154"
"2025-10-01 02:30:00","372","434.7","21.8","4.154"
"2025-10-01 02:45:00","372.2","440.7","21.8","4.154"
"2025-10-01 03:00:00","372","432.7","21.8","4.154"
"2025-10-01 03:15:00","371.5","437.8","21.7","4.154"
"2025-10-01 03:30:00","371","434.7","21.6","4.154"
"2025-10-01 03:45:00","370.7","434.8","21.5","4.154"
"2025-10-01 04:00:00","371","439.2","21.4","4.154"
"2025-10-01 04:15:00","371","430.7","21.4","4.154"
"2025-10-01 04:30:00","371.3","438","21.4","4.154"
"2025-10-01 04:45:00","370.5","440.7","21.32","4.154"
"2025-10-01 05:00:00","371.7","440.8","21.3","4.154"
"2025-10-01 05:15:00","368.7","432.2","21.4","4.154"
"2025-10-01 05:30:00","368","441","21.4","4.154"
"2025-10-01 05:45:00","367.5","434.2","21.4","4.154"
"2025-10-01 06:00:00","367.3","437","21.35","4.154"
"2025-10-01 06:15:00","368.8","433","21.3","4.154"
"2025-10-01 06:30:00","366.7","433.3","21.3","4.154"
"2025-10-01 06:45:00","367.3","442.2","21.5","4.154"
"2025-10-01 07:00:00","367.5","429.8","21.8","4.154"
"2025-10-01 07:15:00","367","436.8","21.8","4.154"
"2025-10-01 07:30:00","363.7","431.8","21.7","4.154"
"2025-10-01 07:45:00","362.8","453.3","21.6","4.154"
"2025-10-01 08:00:00","367.5","431.8","21.6","4.154"
"2025-10-01 08:15:00","371.7","439.8","21.7","4.154"
"2025-10-01 08:30:00","373.8","431.7","21.6","4.154"
"2025-10-01 08:45:00","375.7","439.7","21.4","4.154"
"2025-10-01 09:00:00","377.3","432","21.3","4.154"
"2025-10-01 09:15:00","379.3","431.8","21.2","4.154"
"2025-10-01 09:30:00","382","434.8","21.2","4.154"
"2025-10-01 09:45:00","382.8","431.2","21.1","4.154"
"2025-10-01 10:00:00","382.8","439.3","21.1","4.154"
"2025-10-01 10:15:00","382.3","458.7","21.2","4.154"
"2025-10-01 10:30:00","381.8","450.7","21.8","4.154"
"2025-10-01 10:45:00","382.7","440.7","22","4.154"
"2025-10-01 11:00:00","382.2","445.8","22","4.154"
"2025-10-01 11:15:00","381","437.7","21.9","4.154"
"2025-10-01 11:30:00","380.7","449.3","21.7","4.154"
"2025-10-01 11:45:00","381.2","441","21.6","4.154"
"2025-10-01 12:00:00","379","445.7","21.3","4.154"
"2025-10-01 12:15:00","379","449","21.1","4.154"
"2025-10-01 12:30:00","378.2","448.3","21.5","4.139"
"2025-10-01 12:45:00","376.8","446.5","21.5","4.139"
"2025-10-01 13:00:00","377.7","444.5","21","4.139"
"2025-10-01 13:15:00","379","447","20.7","4.139"
"2025-10-01 13:30:00","378.2","440.5","20.5","4.139"
"2025-10-01 13:45:00","377.5","453.8","20.4","4.139"
"2025-10-01 14:00:00","377.5","439.8","20.6","4.139"
"2025-10-01 14:15:00","375.5","447.7","20.8","4.139"
"2025-10-01 14:30:00","374.7","437","20.7","4.139"
"2025-10-01 14:45:00","374.7","445","20.6","4.169"
"2025-10-01 15:00:00","374.3","436.8","20.6","4.185"
"2025-10-01 15:15:00","374","443.7","20.5","4.185"
"2025-10-01 15:30:00","373","438.5","20.5","4.215"
"2025-10-01 15:45:00","372.2","437.5","20.6","4.215"
"2025-10-01 16:00:00","372.3","439.8","20.6","4.215"
"2025-10-01 16:15:00","372.8","434","20.6","4.215"
"2025-10-01 16:30:00","371.8","439.2","20.7","4.26"
"2025-10-01 16:45:00","372","434.7","20.7","4.382"
"2025-10-01 17:00:00","372","443.2","20.7","4.26"
"2025-10-01 17:15:00","372","437","20.8","4.26"
"2025-10-01 17:30:00","372.7","442","20.9","4.26"
"2025-10-01 17:45:00","372.7","470.2","21","4.382"
"2025-10-01 18:00:00","372.2","441.8","21.3","4.382"
"2025-10-01 18:15:00","372.5","434.5","21.6","4.397"
"2025-10-01 18:30:00","373.2","434.3","21.6","4.397"
"2025-10-01 18:45:00","373.7","436.5","21.4","4.397"
"2025-10-01 19:00:00","374","433","21.2","4.397"
"2025-10-01 19:15:00","374.2","436.3","21.1","4.397"
"2025-10-01 19:30:00","375","454.5","21.1","4.397"
"2025-10-01 19:45:00","374.8","443","21.2","4.397"
"2025-10-01 20:00:00","375","431.5","21.4","4.397"
"2025-10-01 20:15:00","374.8","440.5","21.42","4.397"
"2025-10-01 20:30:00","375.2","433","21.4","4.397"
"2025-10-01 20:45:00","374.8","435.8","21.4","4.397"
"2025-10-01 21:00:00","376","434.8","21.4","4.397"
"2025-10-01 21:15:00","377.5","432.7","21.4","4.397"
"2025-10-01 21:30:00","378.2","438","21.3","4.397"
"2025-10-01 21:45:00","378.7","430.7","21.3","4.397"
"2025-10-01 22:00:00","379.2","443.2","21.3","4.26"
"2025-10-01 22:15:00","379","434.3","21.4","4.26"
"2025-10-01 22:30:00","379.8","443","21.5","4.397"
"2025-10-01 22:45:00","380.5","434","21.5","4.26"
"2025-10-01 23:00:00","380.2","440.8","21.4","4.26"
"2025-10-01 23:15:00","380.2","435","21.3","4.26"
"2025-10-01 23:30:00","381","446.2","21.4","4.26"
"2025-10-01 23:45:00","381.3","438.2","21.8","4.245"
"2025-10-02 00:00:00","381.2","431.5","21.8","4.26"
"2025-10-02 00:15:00","381.3","439.8","21.7","4.26"
"2025-10-02 00:30:00","381.3","432.2","21.5","4.26"
"2025-10-02 00:45:00","380.5","439.2","21.4","4.215"
"2025-10-02 01:00:00","380.3","432.7","21.3","4.2"
"2025-10-02 01:15:00","380.3","453.7","21.3","4.169"
"2025-10-02 01:30:00","379.8","432.8","21.4","4.169"
"2025-10-02 01:45:00","378.7","439.7","21.5","4.169"
"2025-10-02 02:00:00","378.3","436.8","21.4","4.154"
"2025-10-02 02:15:00","377.8","434","21.3","4.154"
"2025-10-02 02:30:00","377.2","435.8","21.2","4.154"
"2025-10-02 02:45:00","376.2","431.8","21.2","4.154"
"2025-10-02 03:00:00","376.7","433.8","21.2","4.154"
"2025-10-02 03:15:00","376","431.2","21.2","4.154"
"2025-10-02 03:30:00","377.7","431.2","21.2","4.154"
"2025-10-02 03:45:00","377","430.8","21.2","4.154"
"2025-10-02 04:00:00","376.7","429.2","21.2","4.154"
"2025-10-02 04:15:00","375.3","453.3","21.2","4.154"
"2025-10-02 04:30:00","375.8","441.3","21.3","4.154"
"2025-10-02 04:45:00","375.7","438","21.4","4.154"
"2025-10-02 05:00:00","377.8","452.7","21.5","4.154"
"2025-10-02 05:15:00","374.5","432.7","21.8","4.154"
"2025-10-02 05:30:00","373","439","21.9","4.154"
"2025-10-02 05:45:00","371.2","429.7","21.7","4.154"
"2025-10-02 06:00:00","371.2","428.5","21.6","4.154"
"2025-10-02 06:15:00","373.7","428.2","21.5","4.154"
"2025-10-02 06:30:00","375.7","442.5","21.4","4.154"
"2025-10-02 06:45:00","379.3","440.2","21.4","4.154"
"2025-10-02 07:00:00","382","434.5","21.4","4.154"
"2025-10-02 07:15:00","385","458.8","21.4","4.154"
"2025-10-02 07:30:00","384.7","431","21.6","4.154"
"2025-10-02 07:45:00","384.2","429.8","21.6","4.154"
"2025-10-02 08:00:00","384","428.2","21.5","4.154"
"2025-10-02 08:15:00","384","429.2","21.4","4.154"
"2025-10-02 08:30:00","382.2","432.3","21.4","4.154"
"2025-10-02 08:45:00","382.5","456.8","21.4","4.154"
"2025-10-02 09:00:00","382.5","458.3","21.7","4.154"
"2025-10-02 09:15:00","391.5","471","22.5","4.154"
"2025-10-02 09:30:00","406.8","469","22.8","4.154"
"2025-10-02 09:45:00","378.8","459.2","22.7","4.154"
"2025-10-02 10:00:00","369.5","477.2","22.5","4.154"
"2025-10-02 10:15:00","366.5","507.5","22.4","4.154"
"2025-10-02 10:30:00","366.7","518","21.1","4.154"
"2025-10-02 10:45:00","379.7","506.2","20.3","4.154"
"2025-10-02 11:00:00","388.8","511.2","20.1","4.154"
"2025-10-02 11:15:00","397","509.5","20.4","4.154"
"2025-10-02 11:30:00","396.8","505.2","20.4","4.154"
"2025-10-02 11:45:00","392.8","496.7","20.3","4.154"
"2025-10-02 12:00:00","391","490.7","20.1","4.154"
"2025-10-02 12:15:00","392.8","494.2","19.9","4.154"
"2025-10-02 12:30:00","396.7","491.3","20.3","4.154"
"2025-10-02 12:45:00","397.8","476","20.1","4.154"
"2025-10-02 13:00:00","407.5","549.5","20.4","4.154"
"2025-10-02 13:15:00","428.8","565","21.2","4.154"
"2025-10-02 13:30:00","216.5","927.8","19.9","4.139"
"2025-10-02 13:45:00","203.3","1003.2","18.98","4.139"
"2025-10-02 14:00:00","203.8","997.5","19.18","4.139"
"2025-10-02 14:15:00","170.8","902.7","18.8","4.139"
"2025-10-02 14:30:00","162.3","800.7","19.1","4.154"
"2025-10-02 14:45:00","170.8","713","18.9","4.139"
"2025-10-02 15:00:00","185","679.2","18.8","4.185"
"2025-10-02 15:15:00","219","624.8","19.3","4.185"
"2025-10-02 15:30:00","196.3","614.5","19.2","4.185"
"2025-10-02 15:45:00","194.3","583.8","19.5","4.185"
"2025-10-02 16:00:00","200","576.8","19.5","4.245"
"2025-10-02 16:15:00","207.5","561.8","19.5","4.154"
"2025-10-02 16:30:00","252.5","564.2","19.7","4.185"
"2025-10-02 16:45:00","227","571.7","19.6","4.2"
"2025-10-02 17:00:00","215.8","562.5","20.2","4.2"
"2025-10-02 17:15:00","217.3","544","20.2","4.215"
"2025-10-02 17:30:00","221.3","538.7","20","4.215"
"2025-10-02 17:45:00","229.8","523.2","19.9","4.215"
"2025-10-02 18:00:00","235.8","529.3","19.9","4.245"
"2025-10-02 18:15:00","252","551.2","20.1","4.382"
"2025-10-02 18:30:00","279.8","526.7","20.3","4.26"
"2025-10-02 18:45:00","287.8","515.7","20.3","4.382"
"2025-10-02 19:00:00","322.5","516.2","20.6","4.382"
"2025-10-02 19:15:00","324.8","506.8","20.3","4.382"
"2025-10-02 19:30:00","294.2","506","20.2","4.382"
"2025-10-02 19:45:00","269.3","497.7","20.1","4.382"
"2025-10-02 20:00:00","272","496","20.1","4.382"
"2025-10-02 20:15:00","272","492.3","20.1","4.382"
"2025-10-02 20:30:00","270.7","492.8","20.2","4.382"
"2025-10-02 20:45:00","271","488.8","20.2","4.382"
"2025-10-02 21:00:00","267.2","483.5","20.2","4.382"
"2025-10-02 21:15:00","269.3","492","20.3","4.382"
"2025-10-02 21:30:00","279.3","483.5","20.6","4.382"
"2025-10-02 21:45:00","289.2","485.8","20.7","4.382"
"2025-10-02 22:00:00","282","480","20.6","4.382"
